CustomerID,cluster,features_array,recency,frequency,monetary,total_quantity,avg_unit_price,unique_products,avg_basket_value,avg_basket_size,tsne_1,tsne_2
13285,2,"[-0.45026876162088053, 0.38625991939594, 1.0425766360564204, 1.1972667445142213, -0.5916916745658701, 1.3353516567304784, 1.1989022208794196, 1.1660458169428722, 1.3237042855991212]",23,4,2709.1199999999994,2051,2.134866310160428,157,677.2799999999999,512.75,54.671017,17.989769
16339,0,"[1.338108630070735, -0.9551041588627164, -1.4985536081754864, -2.0496372496334487, 0.9912951226515775, -0.5843192160726969, -0.5538484961379587, -1.2647706646176966, -2.0669904923131175]",284,1,109.95000000000002,23,5.257500000000001,17,109.95000000000002,23.0,-57.18735,-3.4849277
14570,0,"[1.3278930308636623, -0.36154109848871796, -0.9576199905692703, -1.0378022202005868, 0.1701495771908216, -0.1328844661315162, -0.2686362624906655, -1.2759502494528305, -1.288389173709259]",280,2,218.05999999999992,95,3.3720689655172427,29,109.02999999999996,47.5,-33.36874,-34.56905
16503,1,"[0.6300673332820689, 0.38625991939594, 0.5358312858802936, 0.26233274234628867, 0.5556552147659707, 0.6407983566192229, 0.5641539038165909, 0.3117445507427146, -0.08976126037092151]",106,4,1431.93,569,4.173571428571428,71,357.9825,142.25,22.926533,-2.758648
15727,2,"[-0.6994993303014623, 1.074301348814235, 1.5576974569613948, 1.4903584033873192, 0.1042971330457664, 1.603460207617327, 1.5805639822488406, 1.2845199196018506, 1.149323501343856]",16,7,5178.959999999998,3065,3.248145695364241,213,739.8514285714283,437.85714285714283,59.44011,14.523697
13623,1,"[-0.26529506242886547, 0.6531616553497579, 0.01973482517868143, -0.21841384045362658, 0.28377082440570495, 0.688579480702659, 0.5354211633060575, -0.8549236728803321, -1.0565918741340377]",30,5,747.7800000000001,294,3.594444444444444,75,149.556,58.8,12.5541115,-46.613457
17420,1,"[0.09451348533002758, 0.05959859497575938, -0.15663514896943256, -0.2939416129586472, 0.42249073630217626, -0.16284447164279048, -0.2424161459190606, -0.46955003929137723, -0.6123814562449709]",50,3,598.8299999999999,265,3.881333333333332,28,199.60999999999999,88.33333333333333,-7.793478,-18.354847
15447,0,"[1.4462518756307667, -0.9551041588627164, -1.2267091505301657, -1.1180901894576483, 0.03476658923805409, -1.103767171977125, -1.1471326920498435, -0.8057696996104226, -0.654467825610922]",330,1,155.17,85,3.1211111111111114,9,155.17,85.0,-61.247913,9.450736
14450,1,"[1.009989612813662, 0.05959859497575938, -0.32683933736465587, -0.3629584746850541, -0.15675277577458696, -0.0486554745049633, -0.018848372509119967, -0.7558700272459246, -0.7162142516379134]",180,3,483.25,241,2.7905000000000006,32,161.08333333333334,80.33333333333333,-27.176907,-32.591797
17389,2,"[-2.7471805075492357, 3.23489068980979, 3.0015518063931856, 2.154176508727867, 1.1439558547090425, 0.2448629939991254, 1.3024830778666252, 1.600290444646937, 0.409362187701575]",0,34,31833.679999999993,7612,5.6888262910798115,45,936.2847058823527,223.88235294117646,76.45879,-3.450074
16386,1,"[-0.31349569388932613, -0.36154109848871796, -0.6607520733805, -0.41612132226781134, -0.9687648594462455, 0.7001317435473906, 0.6009255276301128, -0.7766002225551905, -0.35228346346842243]",28,2,317.2,224,1.6589772727272725,76,158.6,112.0,0.8614933,-44.585823
18024,1,"[0.8885263009615174, -0.36154109848871796, -0.4973708065912753, -0.5589922921805112, -0.2857777453120337, -0.4069793940046122, -0.5166491419528384, -0.5015174625526747, -0.5678631341407571]",152,2,389.78000000000003,184,2.5828571428571427,21,194.89000000000001,92.0,-29.002039,-28.037846
