concurrency,request_id,latency_s,num_tokens,prompt_type
1,0,1.283103299967479,32,short
1,1,1.0983719000359997,32,short
1,2,1.0797795999678783,32,short
1,3,1.071544400008861,32,short
1,4,1.0283931999583729,32,short
1,5,1.229771599988453,32,short
1,6,1.2997052999562584,32,short
1,7,1.3048040000139736,32,short
1,8,1.2964326000073925,32,short
1,9,1.2758010999532416,32,short
1,10,1.2767250000033528,32,short
1,11,1.292099199956283,32,short
1,12,1.299311199982185,32,short
1,13,1.362246899981983,32,short
1,14,1.3054943999741226,32,short
1,15,1.374270299973432,32,short
2,0,2.298114800010808,32,short
2,1,2.330719500023406,32,short
2,2,2.256853500031866,32,short
2,3,2.3266531000263058,32,short
2,4,2.5574263999587856,32,short
2,5,2.59445340000093,32,short
2,6,2.3010978999664076,32,short
2,7,2.300499300006777,32,short
2,8,2.3497872999869287,32,short
2,9,2.2974905999726616,32,short
2,10,2.4020163000095636,32,short
2,11,2.3652322000125423,32,short
2,13,2.3994726999662817,32,short
2,12,2.5190145999658853,32,short
2,15,2.4109060000046156,32,short
2,14,2.48374120000517,32,short
4,1,4.004258500004653,32,short
4,0,4.022755700047128,32,short
4,2,4.032047600019723,32,short
4,3,4.046687399968505,32,short
4,5,3.995461200014688,32,short
4,6,3.9900230999919586,32,short
4,4,4.060327799990773,32,short
4,7,4.054215500014834,32,short
4,9,3.964625700027682,32,short
4,8,3.993488200008869,32,short
4,10,4.042255600041244,32,short
4,11,4.049888399953488,32,short
4,12,4.003528599976562,32,short
4,13,4.025586800009478,32,short
4,14,3.9526242000283673,32,short
4,15,3.938330299977679,32,short
8,1,7.9174166999873705,32,short
8,7,8.011185999959707,32,short
8,5,8.041243999963626,32,short
8,0,8.047260500025004,32,short
8,4,8.057699900004081,32,short
8,3,8.065840399998706,32,short
8,2,8.083118000009563,32,short
8,6,8.10467349999817,32,short
8,8,7.52467610000167,32,short
8,10,7.508371100004297,32,short
8,9,7.548126799985766,32,short
8,12,7.523222199990414,32,short
8,14,7.503381299960893,32,short
8,15,7.486265299958177,32,short
8,13,7.530147700046655,32,short
8,11,7.62030260002939,32,short
4,2,3.948606899997685,32,short
4,3,3.964592600008473,32,short
4,1,3.973558800003957,32,short
4,0,4.378383699979167,32,short
4,6,3.773034500016365,32,short
4,4,4.039160499989521,32,short
4,5,4.107052700011991,32,short
4,7,3.943422099982854,32,short
4,8,3.8831137000233866,32,short
4,9,4.21816420002142,32,short
4,11,3.9431407999945804,32,short
4,10,4.3124413000186905,32,short
4,12,3.9458272000192665,32,short
4,13,3.846079999988433,32,short
4,15,3.7477622000151314,32,short
4,14,3.960256400052458,32,short
4,0,15.83215490001021,128,reasoning
4,2,15.936562199960463,128,reasoning
4,1,15.938104700006079,128,reasoning
4,3,16.042241999995895,128,reasoning
4,4,15.90829529997427,128,reasoning
4,5,16.0263240999775,128,reasoning
4,6,16.04911980003817,128,reasoning
4,7,16.04147929995088,128,reasoning
4,8,15.174251299991738,128,reasoning
4,9,15.03478659997927,128,reasoning
4,10,15.177577999944333,128,reasoning
4,11,15.158204599982128,128,reasoning
4,12,15.997009100043215,128,reasoning
4,13,16.08169550000457,128,reasoning
4,14,15.962397199997213,128,reasoning
4,15,15.931342599971686,128,reasoning
